Logged,hostName,clientIp,clientPort,dhost,remarks,src,peerHost,ruleName,shost,dst,dOSName,clientFlag,act,app,serverMAC,deviceDirection
25/09/2023 08:43,45.76.69.64.vultrusercontent.com,10.102.82.213,49770,,,,,,,,,,,DNS,00-50-56-86-4a-f9,
25/09/2023 08:43,vultrusercontent.com,10.9.8.7,42810,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
25/09/2023 08:43,45.76.69.64.vultrusercontent.com,10.9.8.7,23860,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
25/09/2023 08:43,45.76.69.64.vultrusercontent.com,10.9.8.7,23860,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
25/09/2023 08:43,vultrusercontent.com,10.9.8.7,42810,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
25/09/2023 08:43,45.76.69.64.vultrusercontent.com,,,,,,,,,,,,,,,
25/09/2023 08:43,45.76.69.64.vultrusercontent.com,,,,,,,,,,,,,,,
25/09/2023 08:43,,,,45.76.69.64.vultrusercontent.com,"[""IP address: 45.76.69.64""]","[""192.168.2.81""]",45.76.69.64.vultrusercontent.com,CVE-2014-0224 - Possible CCS Injection - TLS,192.168.2.81,"[""45.76.69.64""]",,src,"[""not blocked""]",TCP,,outbound
25/09/2023 08:43,vultrusercontent.com,,,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,dns.opendns.com,"[""152.114.57.124""]",,dst,"[""not blocked""]",DNS Response,,inbound
25/09/2023 08:43,45.76.69.64.vultrusercontent.com,,,152.114.57.124,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,dns.opendns.com,"[""152.114.57.124""]",,dst,"[""not blocked""]",DNS Response,,inbound
25/09/2023 08:43,vultrusercontent.com,,,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,dns.opendns.com,"[""152.114.57.124""]",,dst,"[""not blocked""]",DNS Response,,inbound
25/09/2023 08:43,45.76.69.64.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
25/09/2023 08:43,45.76.69.64.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
25/09/2023 08:43,45.76.69.64.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
25/09/2023 08:43,45.76.69.64.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
25/09/2023 08:43,45.76.69.64.vultrusercontent.com,,,152.114.57.124,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""208.67.222.222""]",dns.opendns.com,DNS response resolves to dead IP address,dns.opendns.com,"[""152.114.57.124""]",,dst,"[""not blocked""]",DNS Response,,inbound
24/09/2023 08:26,45.76.69.64.vultrusercontent.com,10.102.82.213,60552,,,,,,,,,,,DNS,00-50-56-86-4a-f9,
24/09/2023 08:26,45.76.69.64.vultrusercontent.com,10.102.82.213,60552,,,,,,,,,,,DNS,00-50-56-86-4a-f9,
24/09/2023 08:26,vultrusercontent.com,10.9.8.7,65193,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
24/09/2023 08:26,vultrusercontent.com,10.9.8.7,65193,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
24/09/2023 08:26,45.76.69.64.vultrusercontent.com,10.9.8.7,55591,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
24/09/2023 08:26,45.76.69.64.vultrusercontent.com,10.9.8.7,55591,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
24/09/2023 08:26,vultrusercontent.com,,,,,,,,,,,,,,,
24/09/2023 08:26,45.76.69.64.vultrusercontent.com,,,,,,,,,,,,,,,
24/09/2023 08:26,45.76.69.64.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
24/09/2023 08:26,45.76.69.64.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
24/09/2023 08:26,45.76.69.64.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
